2025-04-03 09:01:32 - Anomaly Detected: (0, array([  73686348, 1449267619,    3483859,        170]))
2025-04-03 09:01:32 - Anomaly Detected: (1, array([ 3572, 65991,   213,   170]))
2025-04-03 09:01:32 - Anomaly Detected: (2, array([    0, 51961,   188,   170]))
2025-04-03 09:01:32 - Anomaly Detected: (3, array([    0, 30321,   137,   170]))
2025-04-03 09:01:32 - Anomaly Detected: (4, array([    0, 37348,   142,   170]))
2025-04-03 09:01:32 - Anomaly Detected: (6, array([  200, 31694,   155,   171]))
2025-04-03 09:01:32 - Anomaly Detected: (7, array([    0, 67926,   195,   170]))
2025-04-03 09:01:32 - Anomaly Detected: (8, array([   55, 28988,   139,   170]))
2025-04-03 09:01:32 - Anomaly Detected: (9, array([ 316918, 7354042,   13377,     180]))
2025-04-03 09:01:32 - Anomaly Detected: (10, array([  305, 13372,    46,   180]))
2025-04-03 09:01:32 - Anomaly Detected: (11, array([ 1011, 44316,   145,   180]))
2025-04-03 09:01:34 - Anomaly Detected: (0, array([  73686348, 1449267619,    3483859,        170]))
2025-04-03 09:01:34 - Anomaly Detected: (1, array([ 3572, 65991,   213,   170]))
2025-04-03 09:01:34 - Anomaly Detected: (2, array([    0, 51961,   188,   170]))
2025-04-03 09:01:34 - Anomaly Detected: (3, array([    0, 30321,   137,   170]))
2025-04-03 09:01:34 - Anomaly Detected: (4, array([    0, 37348,   142,   170]))
2025-04-03 09:01:34 - Anomaly Detected: (5, array([ 4241, 25033,   109,   171]))
2025-04-03 09:01:34 - Anomaly Detected: (6, array([  200, 31694,   155,   171]))
2025-04-03 09:01:34 - Anomaly Detected: (7, array([    0, 67926,   195,   170]))
2025-04-03 09:01:34 - Anomaly Detected: (8, array([   55, 28988,   139,   170]))
2025-04-03 09:01:34 - Anomaly Detected: (9, array([ 316918, 7354042,   13377,     180]))
2025-04-03 09:01:34 - Anomaly Detected: (10, array([  305, 13372,    46,   180]))
2025-04-03 09:01:34 - Anomaly Detected: (11, array([ 1011, 44316,   145,   180]))
2025-04-03 09:01:34 - Anomaly Detected: (12, array([  8105, 501319,    573,    178]))
2025-04-03 09:01:36 - Anomaly Detected: (0, array([  73686348, 1449267619,    3483859,        170]))
2025-04-03 09:01:36 - Anomaly Detected: (1, array([ 3572, 65991,   213,   170]))
2025-04-03 09:01:36 - Anomaly Detected: (2, array([    0, 51961,   188,   170]))
2025-04-03 09:01:36 - Anomaly Detected: (3, array([    0, 30321,   137,   170]))
2025-04-03 09:01:36 - Anomaly Detected: (4, array([    0, 37348,   142,   170]))
2025-04-03 09:01:36 - Anomaly Detected: (5, array([ 4241, 25033,   109,   171]))
2025-04-03 09:01:36 - Anomaly Detected: (6, array([  200, 31694,   155,   171]))
2025-04-03 09:01:36 - Anomaly Detected: (7, array([    0, 67926,   195,   170]))
2025-04-03 09:01:36 - Anomaly Detected: (8, array([   55, 28988,   139,   170]))
2025-04-03 09:01:36 - Anomaly Detected: (9, array([ 316918, 7354042,   13377,     180]))
2025-04-03 09:01:36 - Anomaly Detected: (10, array([  305, 13372,    46,   180]))
2025-04-03 09:01:36 - Anomaly Detected: (11, array([ 1011, 44316,   145,   180]))
2025-04-03 09:01:36 - Anomaly Detected: (12, array([  8105, 501319,    573,    178]))
2025-04-03 09:02:03 - Anomaly Detected: (0, array([  73686348, 1449267619,    3483859,        170]))
2025-04-03 09:02:03 - Anomaly Detected: (1, array([ 3572, 65991,   213,   170]))
2025-04-03 09:02:03 - Anomaly Detected: (2, array([    0, 51961,   188,   170]))
2025-04-03 09:02:03 - Anomaly Detected: (3, array([    0, 30321,   137,   170]))
2025-04-03 09:02:03 - Anomaly Detected: (4, array([    0, 37348,   142,   170]))
2025-04-03 09:02:03 - Anomaly Detected: (5, array([ 4241, 25033,   109,   171]))
2025-04-03 09:02:03 - Anomaly Detected: (6, array([  200, 31694,   155,   171]))
2025-04-03 09:02:03 - Anomaly Detected: (7, array([    0, 67926,   195,   170]))
2025-04-03 09:02:03 - Anomaly Detected: (8, array([   55, 28988,   139,   170]))
2025-04-03 09:02:03 - Anomaly Detected: (9, array([ 316918, 7354042,   13377,     180]))
2025-04-03 09:02:03 - Anomaly Detected: (10, array([  305, 13372,    46,   180]))
2025-04-03 09:02:03 - Anomaly Detected: (11, array([ 1011, 44316,   145,   180]))
2025-04-03 09:02:03 - Anomaly Detected: (12, array([  8105, 501319,    573,    178]))
2025-04-03 09:02:35 - Anomaly Detected: (0, array([  73686348, 1449267619,    3483859,        170]))
2025-04-03 09:02:35 - Anomaly Detected: (1, array([ 3572, 65991,   213,   170]))
2025-04-03 09:02:35 - Anomaly Detected: (2, array([    0, 51961,   188,   170]))
2025-04-03 09:02:35 - Anomaly Detected: (3, array([    0, 30321,   137,   170]))
2025-04-03 09:02:35 - Anomaly Detected: (4, array([    0, 37348,   142,   170]))
